赛事,主队,客队,主队进球,客队进球,亚盘水位,亚盘,赔率水位,胜,平,负,返还率
法乙,巴黎FC,罗德兹,2,0,0.93,平手/半球,0.93,2.2,3.25,3.3,93.90%
法乙,特鲁瓦,亚眠,2,0,1.02,平手,0.82,2.8,3.2,2.55,94.20%
法乙,阿雅克,拉瓦勒,2,0,0.77,平手,1.1,2.7,2.7,3.1,94.00%
英超,切尔西,布赖顿,3,2,0.98,一球,0.92,1.57,4.33,5.25,94.50%
英超,西汉姆,水晶宫,1,1,0.95,半球,0.95,1.9,3.6,4,94.90%
英超,利物浦,富勒姆,4,3,0.95,球半/两球,0.95,1.25,7,10,95.90%
英超,伯恩茅,维拉,2,2,0.95,受平手/半球,0.95,3,4,2.1,94.40%
英超,曼城,热刺,3,3,0.85,球半/两球,1.05,1.25,6.5,10,94.90%
德甲,美因茨,弗赖堡,0,1,0.95,平手/半球,0.95,2.2,3.4,3.2,94.20%
德甲,勒沃,多特,1,1,1.02,一球,0.88,1.6,4.5,5,95.50%
德甲,奥格斯,法兰克,2,1,0.89,平手,1.01,2.6,3.5,2.62,95.10%
意甲,佛罗伦,萨勒尼,3,0,0.96,一球/球半,0.97,1.4,4.75,7.5,94.50%
意甲,萨索洛,罗马,1,2,1.03,受平手/半球,0.87,3.4,3.6,2.1,95.40%
意甲,那不勒,国米,0,3,0.83,受平手/半球,1.07,2.87,3.4,2.3,92.80%
西甲,阿尔梅,贝蒂斯,0,0,0.85,受半球,1.05,3.6,3.75,1.95,94.60%
西甲,塞维利,比利亚,1,1,0.91,半球,0.99,1.9,3.75,3.75,94.40%
西甲,巴萨,马竞技,1,0,0.95,半球,0.95,1.9,4,3.75,95.90%
英冠,普雷斯,巡游者,0,2,0.85,平手/半球,1.05,2.15,3.2,3.5,94.00%
德甲,达姆施,科隆,0,1,0.98,平手,0.92,2.7,3.25,2.62,94.40%
德乙,圣保利,汉堡,2,2,0.8,半球,1.05,1.91,4,3.75,96.10%
德乙,沙尔克,奥斯纳,4,0,0.82,一球,1.02,1.53,4.5,6,95.90%
意甲,蒙扎,尤文,1,2,0.91,受半球,0.99,4.2,3.3,1.95,94.90%
西甲,拉斯帕,赫塔费,2,0,1.02,平手/半球,0.88,2.37,2.87,3.4,93.90%
法甲,兰斯,斯特堡,2,1,0.9,半球/一球,0.95,1.7,3.75,5,94.80%
荷甲,海伦芬,阿尔城,3,0,1.04,一球,0.86,1.6,4.2,5.5,95.70%
荷乙,多德勒,罗达JC,2,0,0.88,受平手/半球,0.98,2.88,4,2.2,95.10%
荷乙,海尔蒙,海牙,3,2,0.93,受平手/半球,0.93,3.2,3.6,2.15,94.80%
荷乙,奥斯,格拉夫,0,1,1.03,受半球,0.78,4.2,3.75,1.8,94.30%
荷乙,威廉,埃门,3,0,1,半球,0.85,2,3.6,3.75,95.70%
荷乙,坎布尔,埃因FC,2,2,1.03,一球/球半,0.73,1.45,4.75,6,93.70%
荷乙,格罗宁,芬洛,2,1,1.05,球半,0.75,1.4,4.75,7.5,94.50%
欧罗巴,弗赖堡,奥林匹,5,0,0.97,半球/一球,0.93,1.72,3.75,4.75,94.50%
欧罗巴,托波拉,西汉姆,0,1,1.04,受一球/球半,0.86,7,5.25,1.4,95.50%
欧罗巴,亚特兰,里斯本,1,1,0.99,半球,0.91,1.95,3.5,3.8,94.20%
欧罗巴,布拉格,贝蒂斯,1,0,0.81,平手,1.09,2.45,3.4,2.8,94.40%
欧罗巴,雅典,布赖顿,0,1,0.84,受半球,1.06,3.3,4,2.05,96.10%
欧罗巴,格拉茨,琴斯托,0,1,1.03,半球/一球,0.87,1.8,3.75,4.5,95.70%
欧罗巴,图卢兹,圣吉罗斯,0,0,1.03,平手,0.87,2.7,3.4,2.55,94.60%
欧罗巴,比利亚,帕纳辛,3,2,0.87,半球,1.03,1.8,3.8,4.2,94.60%
欧罗巴,流浪者,艾里斯利,1,1,0.87,球半,1.03,1.28,5.5,10,94.10%
欧罗巴,马赛,阿贾克,4,3,0.92,一球,0.98,1.55,4.5,5.25,94.50%
欧罗巴,塞维特,罗马,1,1,0.83,受一球,1.07,5.5,4,1.6,94.60%
欧罗巴,利物浦,LA林茨,4,0,0.93,两球半,0.97,1.11,10,17,94.40%
欧罗巴,赫根,勒沃,0,2,0.87,受球半/两球,1.03,8.5,6,1.3,94.90%
欧罗巴,莫尔德,卡拉巴,2,2,0.97,半球,0.93,1.9,3.8,3.75,94.70%
欧冠,拉齐奥,凯尔特,2,0,1.13,一球,0.81,1.6,4,5.5,94.60%
欧冠,AC米兰,多特,1,3,1.03,半球,0.87,2,3.6,3.6,94.70%
欧冠,日尔曼,纽卡斯,1,1,0.82,半球/一球,1.08,1.65,4,4.75,93.80%
欧冠,曼城,莱比锡,3,2,0.87,球半,1.06,1.3,5.75,9.5,95.40%
欧冠,费耶诺,马竞技,1,3,0.86,平手,1.04,2.5,3.5,2.7,94.70%
欧冠,巴萨,波尔图,2,1,0.98,一球/球半,0.92,1.4,4.5,7.5,93.50%
欧冠,年轻人,红星,2,0,0.85,平手/半球,1.05,2.1,3.8,3.2,95.10%
欧冠,塞维利,埃因霍,2,3,1.11,平手,0.82,2.75,3.6,2.4,94.50%
欧冠,加拉塔,曼联,3,3,0.95,平手,0.95,2.55,3.6,2.55,94.20%
欧冠,皇马,那不勒,4,2,0.95,半球/一球,0.95,1.7,4.33,4.33,95.20%
欧冠,布拉加,柏林联,1,1,0.95,半球,0.95,1.9,3.75,3.75,94.40%
欧冠,阿森纳,朗斯,6,0,0.85,一球/球半,1.05,1.33,5.5,8,94.50%
欧冠,本菲卡,国米,3,3,1.03,平手/半球,0.87,2.3,3.4,3.1,95.10%
欧冠,拜仁,哥本哈,0,0,0.99,两球,0.91,1.2,7.5,11,94.60%
英超,热刺,维拉,1,2,1,平手,0.9,2.55,3.75,2.5,94.40%
英超,埃弗顿,曼联,0,3,0.93,平手,1,2.63,3.3,2.7,94.90%
德甲,海登,波鸿,0,0,1.05,平手/半球,0.85,2.25,3.5,3.1,95.00%
德甲,霍芬海,美因茨,1,1,0.87,半球,1.03,1.85,3.8,3.8,93.70%
意甲,恩波利,萨索洛,3,4,0.95,平手,0.95,2.62,3.5,2.6,95.10%
意甲,弗洛西,热那亚,2,1,0.84,平手,1.06,2.38,3.25,2.9,93.20%
意甲,罗马,乌迪内,3,1,0.86,半球/一球,1.04,1.65,3.75,5.5,94.80%
意甲,尤文,国米,1,1,0.95,受平手/半球,0.95,3.4,3.2,2.25,95.10%
西甲,社会,塞维利,2,1,0.85,半球/一球,1.08,1.62,3.8,5.5,94.10%
西甲,加的斯,皇马,0,3,0.81,受一球/球半,1.09,6.5,4.75,1.45,94.90%
西甲,贝蒂斯,拉斯帕,1,0,0.94,半球/一球,0.99,1.67,3.75,5.75,96.20%
法甲,蒙彼利,布雷斯,1,3,0.95,平手/半球,0.9,2.25,3.3,3.25,94.80%
法甲,南特,阿弗尔,0,0,0.97,半球,0.87,1.95,3.3,4.2,94.90%
法甲,雷恩,兰斯,3,1,1.05,半球,0.8,2,3.6,3.6,94.70%
英超,曼城,利物浦,1,1,0.89,半球/一球,1.01,1.7,4.2,4.33,94.60%
英超,纽卡斯,切尔西,4,1,0.9,平手,1.03,2.62,3.6,2.5,94.40%
英超,诺丁汉,布赖顿,2,3,0.85,受半球,1.05,3.5,3.6,2,94.00%
英超,谢菲联,伯恩茅,1,3,1.04,受平手/半球,0.86,3.25,3.4,2.2,94.70%
英超,卢顿,水晶宫,2,1,0.88,受半球,1.02,4,3.25,2,94.50%
英超,伯恩利,西汉姆,1,2,0.97,受平手/半球,0.93,3.3,3.5,2.15,94.90%
英超,布伦特,阿森纳,0,1,0.87,受一球,1.06,6,4,1.55,94.20%
德甲,柏林联,奥格斯,1,1,0.99,半球,0.91,2,3.4,3.8,94.60%
德甲,多特,门兴,4,2,1.06,一球/球半,0.87,1.45,5.5,5.25,94.20%
德甲,不来梅,勒沃,0,3,0.93,受一球/球半,0.97,5.75,5.25,1.45,94.90%
德甲,沃尔夫,莱比锡,2,1,0.95,受半球,0.95,3.6,4,1.9,94.90%
德甲,法兰克,斯图加,1,2,1.08,平手,0.82,2.7,3.5,2.5,94.70%
意甲,亚特兰,那不勒,1,2,0.85,平手,1.08,2.5,3.4,2.75,94.50%
意甲,AC米兰,佛罗伦,1,0,0.88,平手/半球,1.02,2.05,3.3,3.5,92.90%
英冠,罗瑟汉,利兹,1,1,0.92,受球半,0.92,10,5.25,1.3,94.40%
德甲,科隆,拜仁,0,1,1,受球半/两球,0.9,10,7,1.25,95.90%
德乙,汉诺威,赫塔,2,2,0.88,平手/半球,0.98,2.1,3.4,3.4,93.90%
德乙,汉堡,不伦瑞,2,1,0.87,球半,0.97,1.36,5.75,7,95.10%
西甲,阿拉维,格拉纳,3,1,0.97,半球/一球,0.93,1.7,3.6,5.25,94.70%
法甲,日尔曼,摩纳哥,5,2,0.95,一球/球半,0.9,1.45,5,5.75,94.00%
荷乙,格罗宁,埃因FC,2,1,0.88,一球,0.98,1.53,4.2,6,94.50%
荷乙,海尔蒙,埃门,1,2,0.8,受半球,1.05,3.4,3.6,2.05,94.40%
荷乙,特尔斯,威廉,1,5,0.8,受半球,1.05,3.5,3.5,2,93.30%
荷乙,阿青年,奥斯,1,0,0.82,半球,1.02,1.8,4.2,3.8,94.60%
荷乙,芬洛,坎布尔,1,2,0.85,受平手/半球,1,2.9,3.6,2.3,94.60%
荷乙,乌青年,格拉夫,2,0,1.03,受半球,0.83,4,4,1.83,95.60%
荷乙,多德勒,海牙,2,2,1.13,平手,0.75,2.8,3.75,2.3,94.50%
荷乙,布雷达,登博思,1,0,0.95,一球/球半,0.9,1.4,4.5,8,94.20%
世外亚洲,中国,韩国,0,3,0.98,受球半/两球,0.88,13,6,1.22,94.10%
世外亚洲,乌兹别,伊朗,2,2,0.78,受半球,1.1,4,3.1,2.05,94.30%
世外亚洲,叙利亚,日本,0,5,1.05,受两球半/三球,0.8,34,11,1.06,94.00%
世外南美,巴拉圭,哥伦比,0,1,0.87,受平手/半球,0.97,3.5,3,2.3,94.90%
世外南美,乌拉圭,玻利维,3,0,0.92,两球/两球半,0.92,1.12,8.5,17,93.50%
世外南美,厄瓜多,智利,1,0,0.8,半球/一球,1.05,1.57,3.75,6,93.40%
世外南美,巴西,阿根廷,0,1,0.75,平手,1.12,2.45,3,3.1,94.00%
世外南美,秘鲁,委内瑞,1,1,1.12,平手/半球,0.75,2.45,2.9,3.3,94.70%
欧洲杯,斯洛文,哈萨克,2,1,1,一球/球半,0.85,1.44,4.33,7.5,94.50%
欧洲杯,北爱,丹麦,2,0,0.88,受半球/一球,0.98,5.25,3.75,1.73,96.60%
欧洲杯,北马其顿,英格兰,1,1,0.92,受球半/两球,0.92,15,5.75,1.22,94.30%
欧洲杯,乌克兰,意大利,0,0,0.95,受半球/一球,0.9,5,3.75,1.7,94.80%
欧洲杯,威尔士,土耳其,1,1,0.9,平手,0.95,2.62,3.4,2.6,94.30%
欧洲杯,希腊,法国,2,2,0.83,受一球,1.03,6,3.75,1.6,94.50%
欧洲杯,白俄,安道尔,1,0,0.9,一球,0.95,1.5,4,8,96.00%
欧洲杯,拉脱维,克罗地,0,2,0.97,受两球,0.87,15,7.5,1.16,94.20%
欧洲杯,瑞士,科索沃,1,1,0.92,球半/两球,0.92,1.25,6,12,95.20%
欧洲杯,荷兰,爱尔兰,1,0,1.02,球半,0.82,1.3,5.5,9.5,94.70%
欧洲杯,塞尔维,保加利,2,2,0.9,球半/两球,0.95,1.22,6,15,95.00%
欧洲杯,匈牙利,黑山,3,1,1.03,半球/一球,0.83,1.8,3.6,4.5,94.70%
欧洲杯,瑞典,爱沙尼,2,0,1.05,两球,0.8,1.2,7,15,95.90%
欧洲杯,比利时,阿塞拜,5,0,0.82,两球/两球半,1.02,1.12,9.5,19,95.20%
欧洲杯,苏格兰,挪威,3,3,1.03,平手/半球,0.83,2.38,3.1,3.25,95.20%
欧洲杯,西班牙,格鲁吉,3,1,0.88,两球半,0.98,1.08,10,26,94.00%
欧洲杯,列支敦,卢森堡,0,1,0.83,受球半/两球,1.03,15,5.75,1.25,96.10%
欧洲杯,波黑,斯洛伐,1,2,0.8,受平手/半球,1.05,3.2,3.2,2.38,95.70%
欧洲杯,葡萄牙,冰岛,2,0,0.93,两球半/三球,0.93,1.07,11,29,94.30%
世外亚洲,泰国,中国,1,2,0.95,平手/半球,0.9,2.2,3.5,3.25,95.40%
世外南美,玻利维,秘鲁,2,0,0.9,平手/半球,0.95,2.25,3.1,3.75,96.70%
世外南美,委内瑞,厄瓜多,0,0,0.87,平手,0.97,2.8,2.87,2.87,94.90%
世外南美,哥伦比,巴西,2,1,1.02,受平手/半球,0.82,3.6,3.25,2.2,96.20%
世外南美,阿根廷,乌拉圭,0,2,0.77,半球/一球,1.1,1.57,3.6,6.5,93.60%
世外南美,智利,巴拉圭,0,0,0.95,半球/一球,0.9,1.75,3.4,5.5,95.50%
欧洲杯,阿塞拜,瑞典,3,0,0.95,受一球,0.9,6,4.5,1.53,95.90%
欧洲杯,格鲁吉,苏格兰,2,2,0.87,受平手/半球,0.97,3.2,3.4,2.25,95.10%
欧洲杯,塞浦路,西班牙,1,3,0.87,受三球/三球半,0.97,41,15,1.04,95.00%
欧洲杯,列支敦,葡萄牙,0,2,0.87,受四球半/五球,0.97,81,26,1.01,96.10%
欧洲杯,芬兰,北爱,4,0,0.88,平手/半球,0.98,2.2,3.1,3.6,94.80%
欧洲杯,丹麦,斯洛文,2,1,0.77,半球/一球,1.1,1.6,3.75,6.5,95.60%
欧洲杯,波兰,捷克,1,1,0.77,平手,1.1,2.5,3.2,2.9,94.60%
欧洲杯,意大利,北马其顿,5,2,0.87,两球/两球半,0.97,1.12,8.5,21,94.50%
英超,维拉,富勒姆,3,1,0.87,半球/一球,1.03,1.65,4,5,94.70%
英超,西汉姆,诺丁汉,3,2,1.05,半球/一球,0.85,1.8,3.75,4.5,95.70%
英超,利物浦,布伦特,3,0,1.05,球半,0.85,1.36,5.5,7.5,95.20%
英超,切尔西,曼城,4,4,0.91,受半球/一球,0.99,4.75,3.75,1.72,94.50%
德甲,勒沃,柏林联,4,0,1.01,球半,0.89,1.36,5.25,7.5,94.40%
德甲,不来梅,法兰克,2,2,1.07,平手,0.83,2.8,3.5,2.45,95.10%
德甲,莱比锡,弗赖堡,3,1,0.99,一球/球半,0.91,1.44,4.75,6.5,94.40%
意甲,佛罗伦,博洛尼,2,1,1.05,半球,0.85,2,3.4,3.8,94.60%
意甲,乌迪内,亚特兰,1,1,1.01,受平手/半球,0.89,3.4,3.4,2.1,93.90%
意甲,拉齐奥,罗马,0,0,0.99,平手,0.91,2.9,2.87,2.75,94.60%
意甲,国米,弗洛西,2,0,1.05,两球/两球半,0.85,1.18,8,13,95.30%
西甲,巴萨,阿拉维,2,1,0.99,球半/两球,0.91,1.25,6.5,9.5,94.40%
西甲,塞维利,贝蒂斯,1,1,0.89,平手/半球,1.01,2.15,3.5,3.3,94.90%
西甲,马竞技,比利亚,3,1,0.93,球半,0.97,1.33,5.75,8,95.20%
英超,水晶宫,埃弗顿,2,3,0.83,平手,1.07,2.6,3,2.9,94.10%
英超,阿森纳,伯恩利,3,1,1.05,两球,0.85,1.2,7,15,95.90%
英超,曼联,卢顿,1,0,0.86,球半,1.07,1.3,5.75,9,94.90%
英超,伯恩茅,纽卡斯,2,0,0.97,受半球,0.93,4,3.6,1.91,95.10%
德甲,达姆施,美因茨,0,0,0.91,受平手/半球,0.99,3.1,3.5,2.25,95.00%
德甲,奥格斯,霍芬海,1,1,0.81,平手,1.09,2.37,3.8,2.75,95.40%
德甲,拜仁,海登,4,2,1,两球半/三球,0.9,1.1,13,15,95.00%
德甲,斯图加,多特,2,1,0.84,平手,1.06,2.45,3.8,2.62,95.00%
德甲,波鸿,科隆,1,1,0.92,平手,0.98,2.62,3.4,2.6,94.30%
意甲,尤文,卡利亚,2,1,0.81,一球,1.09,1.45,4.5,6.5,93.80%
意甲,蒙扎,都灵,1,1,0.96,平手,0.97,2.75,3.1,2.7,94.60%
西甲,阿尔梅,社会,1,3,1.06,受半球,0.87,4.2,3.6,1.8,93.30%
西甲,奥萨苏,拉斯帕,1,1,0.99,半球,0.94,1.91,3.2,4.5,94.50%
西甲,皇马,巴伦西,5,1,1,球半,0.9,1.33,5.5,7.5,93.70%
英冠,布莱克,普雷斯,1,2,1.04,半球,0.86,2,3.6,3.6,94.70%
德甲,门兴,沃尔夫,4,0,1.09,平手/半球,0.84,2.3,3.8,2.7,93.60%
德乙,沙尔克,埃弗斯堡,1,2,1.02,半球,0.82,1.95,4,3.5,95.40%
德乙,圣保利,汉诺威,0,0,0.85,半球/一球,1,1.61,4,5.25,94.20%
意甲,萨索洛,萨勒尼,2,2,0.95,半球/一球,0.95,1.7,4,4.33,93.50%
意甲,热那亚,维罗纳,1,0,0.83,半球,1.07,1.8,3.25,5.25,94.90%
西甲,毕尔巴,塞尔塔,4,3,0.9,半球/一球,1,1.66,3.8,4.75,92.90%
法甲,蒙彼利,尼斯,0,0,0.97,受平手/半球,0.87,3.5,3.25,2.2,95.40%
荷甲,福图纳,赫拉克,4,1,0.87,半球/一球,0.97,1.66,4,5,95.00%
荷乙,奥斯,马斯特里,0,1,0.85,平手,1,2.55,3.5,2.62,94.40%
荷乙,特尔斯,格拉夫,1,2,1.02,受平手/半球,0.82,3.3,3.8,2.05,94.90%
荷乙,埃因FC,芬洛,0,2,0.92,平手/半球,0.92,2.15,3.8,3.1,95.20%
荷乙,埃门,登博思,1,0,1.1,球半,0.7,1.4,4.75,7.5,94.50%
荷乙,威廉,乌青年,2,1,1.03,球半,0.83,1.33,5.5,8.5,95.10%
欧罗巴,阿贾克,布赖顿,0,2,0.95,受半球/一球,0.95,4,4.2,1.75,94.40%
欧罗巴,图卢兹,利物浦,3,2,1.07,受一球,0.83,6,4.75,1.5,95.80%
欧罗巴,LA林茨,圣吉罗斯,3,0,0.63,受半球/一球,1.25,3.8,3.6,1.95,94.90%
欧罗巴,雷恩,帕纳辛,3,1,1,半球/一球,0.9,1.73,4,4.5,95.20%
欧罗巴,卡拉巴,勒沃,0,1,0.99,受一球/球半,0.91,6.5,5,1.4,93.60%
欧罗巴,斯拉维,罗马,2,0,0.88,平手,1.02,2.63,3.1,2.8,94.30%
欧罗巴,里斯本,琴斯托,2,1,0.89,球半,1.01,1.3,5.5,12,96.70%
欧罗巴,赫根,莫尔德,1,3,0.9,平手,1,2.45,4,2.5,94.50%
欧罗巴,西汉姆,奥林匹,1,0,1.08,一球/球半,0.82,1.5,4.2,7,95.50%
欧罗巴,弗赖堡,托波拉,5,0,0.9,两球,1,1.18,7.5,15,95.50%
欧罗巴,雅典,马赛,0,2,0.85,平手,1.05,2.5,3.5,2.75,95.30%
欧罗巴,亚特兰,格拉茨,1,0,0.91,球半,0.99,1.3,5.75,9,94.90%
欧罗巴,流浪者,布拉格,2,1,1.06,半球/一球,0.84,1.8,3.8,4.33,95.30%
欧罗巴,贝蒂斯,艾里斯利,4,1,1.01,球半/两球,0.89,1.28,5.75,10,94.80%
欧冠,多特,纽卡斯,2,0,0.95,平手,0.95,2.62,3.4,2.62,94.60%
欧冠,矿工,巴萨,1,0,0.95,受球半/两球,0.95,9,6.5,1.25,93.90%
欧冠,AC米兰,日尔曼,2,1,0.86,受平手/半球,1.04,3,3.6,2.3,95.60%
欧冠,曼城,年轻人,3,0,0.95,两球半/三球,0.95,1.07,13,21,94.40%
欧冠,马竞技,凯尔特,6,0,1.06,球半,0.84,1.4,5.25,6.5,94.50%
欧冠,拉齐奥,费耶诺,1,0,0.98,平手,0.92,2.62,3.3,2.6,93.50%
欧冠,红星,莱比锡,1,2,0.97,受一球,0.96,4.5,4.2,1.66,94.10%
欧冠,那不勒,柏林联,1,1,1.05,一球/球半,0.85,1.4,4.6,8,94.60%
欧冠,社会,本菲卡,3,1,0.86,半球,1.04,1.8,3.5,4.5,94.00%
欧冠,阿森纳,塞维利,2,0,0.98,球半/两球,0.92,1.22,6,13,94.10%
欧冠,皇马,布拉加,3,0,1.06,两球,0.84,1.22,7.5,10,95.00%
欧冠,萨堡红牛,国米,0,1,0.98,受半球/一球,0.92,4.75,3.8,1.7,94.20%
欧冠,拜仁,加拉塔,2,1,0.95,两球/两球半,0.95,1.16,8.5,13,94.60%
欧冠,哥本哈,曼联,4,3,0.91,受半球/一球,0.99,4.5,4,1.73,95.20%
英超,诺丁汉,维拉,2,0,0.95,受半球,0.95,3.75,3.75,1.91,94.60%
英超,卢顿,利物浦,1,1,1,受两球,0.93,11,7.5,1.2,94.60%
德甲,沃尔夫,不来梅,2,2,0.95,半球/一球,0.95,1.7,4.33,4.2,94.60%
德甲,海登,斯图加,2,0,0.88,受一球,1.05,5.5,4.33,1.57,95.30%
意甲,卡利亚,热那亚,2,1,0.88,平手,1.02,2.7,3,2.87,95.00%
意甲,罗马,莱切,2,1,1,一球,0.9,1.53,3.8,7,94.40%
意甲,佛罗伦,尤文,0,1,1.02,平手,0.88,2.9,3.1,2.6,95.10%
西甲,巴伦西,格拉纳,1,0,1.15,一球,0.79,1.65,4,5,94.70%
西甲,比利亚,毕尔巴,2,3,0.93,受半球,0.97,3.6,3.6,2,94.70%
西甲,皇马,巴列卡,0,0,0.87,球半/两球,1.03,1.22,6.5,12,94.60%
法甲,南特,兰斯,0,1,1.05,平手,0.8,2.75,3.25,2.63,95.10%
法甲,图卢兹,阿弗尔,1,2,1,半球,0.85,1.95,3.4,4,94.60%
法甲,摩纳哥,布雷斯,2,0,1.01,半球/一球,0.92,1.75,3.8,4.75,95.70%
法甲,尼斯,雷恩,2,0,0.8,平手/半球,1.05,2.1,3.2,3.6,93.80%
英超,布伦特,西汉姆,3,2,0.9,平手/半球,1.03,2.15,3.5,3.3,94.90%
英超,谢菲联,狼队,2,1,1.04,受半球,0.86,4.2,3.6,1.85,94.70%
英超,埃弗顿,布赖顿,1,1,1.09,平手,0.81,2.8,3.4,2.45,94.40%
英超,曼城,伯恩茅,6,1,0.86,两球半,1.07,1.09,11,21,94.70%
英超,伯恩利,水晶宫,0,2,0.91,受平手/半球,0.99,3.25,3.2,2.3,94.80%
英超,纽卡斯,阿森纳,1,0,1.01,平手,0.89,2.8,3,2.7,94.30%
德甲,弗赖堡,门兴,3,3,1.01,半球,0.92,1.95,3.8,3.6,94.90%
德甲,霍芬海,勒沃,2,3,0.84,受一球/球半,1.06,5.5,4.75,1.5,94.40%
德甲,科隆,奥格斯,1,1,1.08,半球,0.82,2.05,3.75,3.4,95.40%
德甲,柏林联,法兰克,0,3,0.78,平手,1.12,2.5,3.1,3,94.70%
德甲,美因茨,莱比锡,2,0,0.93,受半球/一球,0.97,4.5,4,1.72,94.90%
德甲,多特,拜仁,0,4,0.92,受半球/一球,0.98,4,4.33,1.75,95.00%
意甲,亚特兰,国米,1,2,1.05,受平手/半球,0.85,3.5,3.5,2.1,95.50%
意甲,AC米兰,乌迪内,0,1,0.81,一球,1.09,1.45,4.5,6.5,93.80%
德国杯,圣保利,沙尔克,1,1,0.82,一球,1.02,1.53,4.2,6,94.50%
德国杯,斯图加,柏林联,1,0,1.05,一球,0.8,1.6,4.2,5.25,94.90%
德国杯,沃尔夫,莱比锡,1,0,0.8,受一球,1.05,4.5,4.33,1.65,94.40%
德国杯,门兴,海登,3,1,0.95,一球,0.9,1.6,4.2,5.25,94.90%
德国杯,凯泽,科隆,3,2,1,受平手/半球,0.85,3.2,3.6,2.15,94.80%
德国杯,多特,霍芬海,1,0,1,一球/球半,0.85,1.53,4.75,5.5,95.60%
德国杯,弗赖堡,帕德博,1,3,1.03,一球/球半,0.83,1.5,4.75,6,95.80%
德国杯,桑德豪,勒沃,2,5,0.75,受两球/两球半,1.13,12,7.5,1.18,94.00%
德国杯,赫塔,美因茨,3,0,0.85,受平手/半球,1,2.8,4,2.2,94.20%
德国杯,萨尔布,拜仁,2,1,1.02,受三球,0.82,29,13,1.05,94.00%
意杯,萨勒尼,桑普多,4,0,0.9,半球/一球,0.95,1.7,3.75,5.25,95.70%
意杯,博洛尼,维罗纳,2,0,1,一球,0.85,1.6,4,5.75,95.30%
意杯,莱切,帕尔马,2,4,1.03,半球,0.83,2.05,3.5,3.75,96.10%
意杯,乌迪内,卡利亚,1,1,1.1,平手/半球,0.77,2.4,3.2,3.1,95.10%
英超,伯恩茅,伯恩利,2,1,0.88,平手/半球,1.02,2.15,3.5,3.25,94.50%
英超,阿森纳,谢菲联,5,0,0.85,两球/两球半,1.05,1.12,8.5,19,94.10%
英超,狼队,纽卡斯,2,2,0.99,受半球,0.91,4,3.9,1.83,95.00%
德甲,门兴,海登,2,1,0.87,半球/一球,1.06,1.66,4,4.5,93.10%
德甲,拜仁,达姆施,8,0,0.88,三球,1.02,1.06,12,23,93.40%
德甲,奥格斯,沃尔夫,3,2,0.81,平手,1.09,2.45,3.6,2.75,95.30%
德甲,斯图加,霍芬海,2,3,0.82,半球/一球,1.08,1.65,4.2,4.75,94.80%
德甲,不来梅,柏林联,2,0,1.08,平手,0.82,2.8,3.25,2.45,93.20%
德甲,莱比锡,科隆,6,0,1.08,一球/球半,0.82,1.5,4.5,6.5,95.90%
